name,category,chains,total_24h,total_7d,total_30d,change_1d_pct,change_7d_pct
LiquidCore,Dexs,Hyperliquid L1,1173,9436,51491,-34.03,-43.14
Cetus DLMM,Dexs,Sui,1170,4602,25491,62.95,16.65
Vena Finance,Lending,Fluent,1165,8247,48733,-13.64,0.17
Haedal Protocol,Liquid Staking,Sui,1163,7822,35908,3.29,5.54
Origami Finance,Leveraged Farming,Ethereum,1156,3469,15190,2081.13,14.23
DipCoin Perps,Derivatives,Sui,1156,7709,31374,-18.42,-49.78
Momentum,Dexs,Sui,1154,17430,100702,-56.89,-49.27
THENA FUSION,Dexs,BSC,1141,6504,21720,-58.33,97.75
Lavarage,Derivatives,Solana,1137,9731,22077,-49.69,77.66
Crypto.com Liquid Staking,Liquid Staking,Cronos;Solana,1134,8977,38878,,
Lista CDP,CDP,BSC,1131,31930,176293,-82.71,-75.48
Origin Dollar,Yield Aggregator,Ethereum,1130,7914,31828,-0.09,0
3F,RWA Lending,Ethereum,1125,1168,2900,18650,
Full Sail,Dexs,Sui,1121,5633,39112,29.15,3.6
Concentrator,Yield,Ethereum,1115,1189,6433,0,
Stronghold Staked SOL,Liquid Staking,Solana,1097,4034,14871,,
FluxFlow V3,Dexs,Fluent,1093,4042,17358,16.4,-21.03
Kreo,Interface,Polygon,1085,7521,47034,8.94,2.65
Infinex Perp,Interface,Hyperliquid L1,1081,6748,39789,53.33,-26.56
Shoebill V2,Lending,Manta;WEMIX3.0,1080,3233,17896,342.62,143.79
Ave.ai,Trading App,Base;BSC;Ethereum;Hyperliquid L1;Solana,1072,7557,45475,14.16,6.99
Origin ARM,Yield,Ethereum;Sonic,1041,5117,35621,11.7,23.2
Feather,Risk Curators,Sei,1039,6964,23492,3.08,7.45
Vergex Perps,Interface,Hyperliquid L1,1036,2308,6714,39.43,5080
Doma DEX V3,Dexs,Doma,1031,7419,29804,-0.19,-2.74
Capx AI,AI Agents,Capx Chain,1018,9875,45507,-38.15,-34.02
DeBank Cloud,Developer Tools,Ethereum;Base;Polygon;BSC;Arbitrum,1007,9882,42128,64.27,-75.29
Telemetry,Trading App,Solana,998,5683,22807,43.39,87.59
Zcash,Chain,Zcash,995,4446,24546,74.26,7.8
Boros,Interest Rate Derivatives,Arbitrum,994,5426,44899,25.35,-26.48
OPINION,Prediction Market,BSC,994,12260,81032,-63.92,-54.55
Avant avBTC,Onchain Capital Allocator,Avalanche,988,7099,26205,-3.89,-2.56
Iron Bank,Lending,Ethereum;OP Mainnet;Avalanche,983,3410,26131,,222.3
Bluefin Pro,Derivatives,Sui,978,10235,54947,-51.32,4.15
Figure Markets Exchange,OTC Marketplace,Provenance,974,7444,139625,-23.91,-61.68
ZeroLend Vaults,Risk Curators,Ethereum;Berachain;Linea,945,6591,27983,0.11,0.85
Circle Gateway,Cross Chain Bridge,Unichain;OP Mainnet;Avalanche;Ethereum;Arbitrum;Base;Polygon,924,10052,47516,-37.86,-56.52
Bracket Vaults,Onchain Capital Allocator,Ethereum,921,2957,19476,355.94,283.75
DefiTuna AMM,Dexs,Solana,920,9607,27781,-10.42,-12.13
Portal,Bridge,Ink;Kaia;Celo;Mantle;World Chain;Fantom;Ethereum;Berachain;Scroll;Unichain;Polygon;OP Mainnet;Arbitrum;Base;BSC;Avalanche;Moonbeam;Mezo;Solana;Sonic;Linea;Hyperliquid L1;Plume Mainnet;XRPL EVM;Sui;Monad;MegaETH;Aptos,898,3658,15652,54.83,101.35
SundaeSwap V2,Dexs,Cardano,894,4909,54301,11.19,-34.46
Chamber Vaults,Indexes,Polygon;OP Mainnet;Arbitrum;Base;Ethereum;Hyperliquid L1,890,8216,37316,-35.69,-32.88
NEAR Intents,Cross Chain Bridge,Near,890,643972,2959047,-99.37,-99.19
Garden,Cross Chain Bridge,Ethereum;Bitcoin;Arbitrum;Starknet;Base;Berachain;Unichain;Hyperliquid L1;Solana;BSC;Corn;Sui;Monad;Litecoin;Botanix;Citrea;MegaETH;Tron,880,16339,57720,-76.93,-13.64
Quickswap V4,Dexs,Base;Soneium;Somnia,870,4525,22690,15.38,-51.1
SpringSui Ecosystem,Liquid Staking,Sui,857,5537,25438,10.44,9.59
ThalaSwap V3,Dexs,Aptos,856,17176,66960,-78.02,-66.91
Aori,Cross Chain Bridge,Arbitrum;Base;OP Mainnet;Ethereum;Plasma;BSC;Monad;Stable;MegaETH,855,-11128,-16487,-136.21,-105.2
3Jane Lending,Uncollateralized Lending,Ethereum,840,9800,36284,-57.12,-52.05
Aborean CL,Dexs,Abstract,830,4821,25688,-50.09,29.08
Paradex Perps,Derivatives,Paradex;Ethereum,828,2958,25907,116.19,23.4
Frax,Algo-Stables,Arbitrum;Ethereum,820,1671,4813,6207.69,229.32
Enosys Loans,CDP,Flare,818,7549,61354,-8.71,-60.58
Laine SOL,Liquid Staking,Solana,817,3005,13469,,
Mass,Interface,Hyperliquid L1,808,4574,41891,-16.87,-26.88
BendDAO Lending V1,NFT Lending,Ethereum,807,5428,23957,3.73,3.46
tBTC,Decentralized BTC,Ethereum,803,5631,62853,52.95,-59.11
Linea,Chain,Linea,797,7060,44055,-26.2,-2.57
fx Protocol,Dual-Token Stablecoin,Ethereum,788,28649,341555,-83.85,-88.31
Joe DEX,Dexs,Avalanche;BSC;Arbitrum,771,6417,33994,-15.74,-53.75
Hedera,Chain,Hedera,753,6649,28706,-22.61,-33.01
Binaryx Platform,RWA,Polygon,751,10589,32034,-66.87,-67.36
Livepeer,Video Infrastructure,Arbitrum,747,5691,24565,-9.89,-6.97
Piku Finance,Yield,Ethereum,737,9653,137641,-153.44,-94.17
Merchant Moe Liquidity Book,Dexs,Mantle,736,6661,40819,-51.99,-75.23
Aries Markets,Lending,Aptos,729,2185,33387,124.31,226.91
PumpSpace V3,Dexs,Avalanche,720,6449,37417,-19.28,-51.25
Alkimi,Services,Sui,719,4325,24006,0,1.55
Nad.fun,Launchpad,Monad,708,5438,70559,-20.98,-27.38
Hamilton Lane Senior Credit Opportunities Securitize Fund,RWA,Polygon;Ethereum;Plume Mainnet;OP Mainnet,707,6408,32919,0,-29.23
Doge,Chain,Doge,706,5279,23489,-6.74,-6.74
GTBTC,Restaked BTC,Ethereum,703,5227,23729,-13,-17.1
Solana Name Service,Domains,Solana,695,5505,21909,-22.26,-49.78
Clearstar,Risk Curators,Polygon;Arbitrum;Ethereum;Base;Hemi;Unichain;Katana,687,6562,47356,-11.35,-12.37
Kintsu,Liquid Staking,Monad;Hyperliquid L1,679,4417,19757,1.8,12.42
Hyperbeat LST,Liquid Staking,Hyperliquid L1,676,4906,25046,9.56,-3.43
Treehouse Protocol,DOR,Ethereum;Avalanche,667,5770,41665,17.64,-5.12
Fragmetric,Liquid Restaking,Solana,664,1984,11062,59.62,906.06
Aera V3,Onchain Capital Allocator,Ethereum;Base,659,27985,109445,-86.36,1.23
Monetrix,Basis Trading,Hyperliquid L1,659,4317,12325,-4.08,-6.39
DefiTuna Liquidity,Liquidity Manager,Solana,654,2018,12153,547.52,240.63
Arkada,SoFi,Sonic;Soneium;Base;Hyperliquid L1;Plume Mainnet;Abstract;Arbitrum;Monad;Unichain;BSC;Ethereum;Polygon;Ink;MegaETH;Somnia;Katana,649,3274,18469,36.34,58.29
RayBot,Telegram Bot,Solana,648,3740,17331,18.03,30.38
PancakeSwap Lottery,Luck Games,BSC,647,2169,9894,880.3,960.66
Bounce.Tech,Derivatives,Hyperliquid L1,633,4633,67326,-18.53,-60.26
Layer3,Foundation,OP Mainnet;Arbitrum;Gnosis;Scroll;Blast;Polygon;BSC;Celo;Base;Linea;Zora;Mode;Metis;Ink;Ethereum;Monad,629,3385,17080,103.56,60.46
Hanji Protocol,Dexs,Etherlink;Base;Monad,627,3528,14427,7.73,-26.75
WaterNeuron,Liquid Staking,ICP,623,4589,21282,-14.19,0.16
Exponent V1,Yield,Solana,622,24551,48057,43.65,61.14
Wallet V,Interface,Hyperliquid L1,619,1318,7844,275.15,1189.58
Supernova CL,Dexs,Ethereum,589,2924,18464,21.69,6.32
Tradoor Perps Aggregator,Interface,Hyperliquid L1,589,3097,4076,55.82,820.31
Propr,Trading App,Ethereum,585,171271,750458,-96.64,-97.18
SyncSwap,Dexs,ZKsync Era;Linea;Sophon;Scroll,573,3389,18392,3.43,-25.29
Arcadia V2,Liquidity Manager,Base;Unichain;OP Mainnet,572,4618,24455,-15.76,-31.9
WingRiders,Dexs,Cardano,569,2795,27997,-1.04,2.71
Bancor V3,Dexs,Ethereum,567,4401,13616,81.73,-82.77
Save,Lending,Solana,564,9408,66520,28.47,-85.17
Takara Lend,Lending,Sei,562,4141,18024,-10.22,-14.07
SOCKET Protocol,Bridge Aggregator,Aurora;Arbitrum;OP Mainnet;Base;Blast;Ethereum;Avalanche;BSC;Polygon;Polygon zkEVM;Fantom;Linea;Mantle;Scroll;ZKsync Era;Gnosis;Mode,562,3885,33932,-55.47,17.82
Arweave,Chain,Arweave,560,3142,13042,77.78,36.92
AlphaQ,Dexs,Solana,552,3639,19185,26.03,3.56
Trust Wallet Perps,Interface,Hyperliquid L1,551,2655,11668,19.01,24.66
Bungee Bridge Aggregator,Bridge Aggregator,Base;Aurora;Mantle;Sonic;Berachain;Fantom;Unichain;Polygon zkEVM;Mode;Blast;Linea;Scroll;Gnosis;Ethereum;Avalanche;ZKsync Era;OP Mainnet;BSC;Arbitrum;Polygon;Hyperliquid L1;Ink;Katana;MegaETH;Monad,546,3885,33945,-56.74,14.47
Jade,Gamified Mining,Solana,545,8942,28805,-10.66,-60.42
RockSolid Network,Yield,Ethereum,543,11552,44614,-90.06,5.23
WooFi Pro Perps,Interface,Orderly Network,541,3527,15756,156.4,-45.85
Camelot V2,Dexs,Arbitrum;ApeChain;Gravity by Galxe;Rari;ReyaChain;Gnosis;Sanko,540,1794,8579,40.26,93.55
Minara AI Perps,Interface,Hyperliquid L1,529,4702,50585,-13.84,-72.73
SoDEX Spot,Dexs,ValueChain,526,3504,13293,10.04,24.35
Frankencoin,CDP,Ethereum,525,4054,116594,262.07,352.59
SwapX Algebra,Dexs,Sonic,521,6111,24659,-14.17,-56.69
Pico Staked SOL,Liquid Staking,Solana,521,1916,6949,,
EVplusAI Predictions,Interface,Polygon,521,3230,10150,-0.95,28.33
Banana Gun,Telegram Bot,Ethereum;Solana;Blast;Base;BSC;Sonic;Unichain,503,3780,23431,64.92,-53.9
Defi Saver Perps,Interface,Hyperliquid L1,499,3415,11712,91.19,16533.33
Bancor V2.1,Dexs,Ethereum,495,3302,14425,31.3,-62.61
Katana DEX V3,Dexs,Ronin,488,2377,14760,8.44,-3.94
Kasu,RWA Lending,XDC;Base;Plume Mainnet,488,18256,83759,-83.33,-83.28
Stacks,Chain,Stacks,485,3186,13895,-7.44,119.46
Taiko,Chain,Taiko,483,1078,3253,34.17,
Fluxion Network,Dexs,Mantle,482,2961,33162,23.59,-37.73
Tree News,SoFi,Ethereum;Base;Solana,476,8728,73526,-51.08,0.85
OpenEden TBILL,RWA,Ethereum;Arbitrum;XRPL;Solana,473,3343,14879,0,-3.07
ApeChain,Chain,ApeChain,472,3693,12918,-3.48,-32.95
Virtue,CDP,IOTA,468,3591,18098,2.41,-2.7
Hyperlane,Cross Chain Bridge,Arbitrum;OP Mainnet;Polygon zkEVM;Celo;Polygon;Ethereum;Base;Avalanche;Gnosis;BSC;Blast;Mantle;Scroll;Linea,464,2247,11124,13.73,3.8
Pharaoh V3 Legacy,Dexs,Avalanche,460,1641,8894,131.16,47.44
Capricorn,Dexs,Monad,455,3273,20364,-35.83,-10.78
SaucerSwap V1,Dexs,Hedera,447,3364,16007,1.13,4.68
Ready Cards,Physical TCG,Solana,446,848,3025,10.95,184.08
Lazy Summer Protocol,Yield Aggregator,Sonic;Base;Ethereum;Arbitrum;Hyperliquid L1,444,2295,11597,100,-37.73
WunderTrading Perps,Interface,Hyperliquid L1,444,3343,19158,-61.36,33.33
GT3,Dexs,Polygon,443,822,2086,804.08,863.04
Colend Protocol,Lending,CORE,442,1234,63480,,58.42
SUNSwap V1,Dexs,Tron,440,2656,33362,2.8,-60.89
SparkDEX V3.1,Dexs,Flare,440,1833,13842,0,18.6
Hyperbeat Liquid Bank Perps,Interface,Hyperliquid L1,438,1889,6749,62.83,-10.79
World Chain,Chain,World Chain,436,2832,20165,2.59,0.23
Bonzo Lend,Lending,Hedera,435,3092,13036,-3.33,-3.12
Apexliquid Perps,Interface,Hyperliquid L1,435,2298,11266,31.02,9.02
ReyaChain,Chain,ReyaChain,434,3471,9789,-34.44,2.6
Lantern Staked SOL,Liquid Staking,Solana,423,1556,6896,,
Bullpen Prediction Markets,Interface,Polygon,420,3940,15519,-35.58,16.34
Pear Perps,Derivatives,Arbitrum,414,1420,11322,80.79,100
Zest V2,Lending,Stacks,407,2488,10092,57.14,14.33
Gnosis,Chain,Gnosis,407,3714,16307,-58.26,-57.29
Dexly Trade,Interface,Hyperliquid L1,393,2178,16434,-40.27,20.18
Sudo Perps,Derivatives,Sui,391,5522,12562,-85.59,-68.21
Beets LST,Liquid Staking,Sonic,388,2574,13871,7.48,17.93
Silo V2,Lending,Sonic;Arbitrum;Ethereum;Avalanche,383,4864,57395,0,-86.59
AlphaPing,Risk Curators,Ethereum,380,2720,12783,-1.81,0.26
STEAMM,Dexs,Sui,378,1853,19612,107.69,-25.59
Unchain X,Dexs,BSC,378,1902,9764,19.62,-11.06
Metropolis DLMM,Dexs,Sonic,377,3374,15129,269.61,-18.75
Velodrome V2,Dexs,OP Mainnet;Mode;BOB;Soneium;Unichain;Ink;Lisk;Swellchain;Fraxtal,374,18021,113782,-94.64,-42.11
Kairos Timeboost,MEV,Arbitrum,372,1391,6903,27.4,67.57
ZyFAI,AI Agents,Base;Sonic,370,2348,3499,-78.49,436.23
Tria Perps,Interface,Hyperliquid L1,370,5763,31172,-16.48,-72.33
Litecoin,Chain,Litecoin,370,2596,10840,-5.61,14.91
Dexari,Interface,Hyperliquid L1,369,3210,13572,-35.26,-39.61
Contango V2,Derivatives,Ethereum;Base;Arbitrum;OP Mainnet;Scroll;Gnosis;Avalanche;Linea;Polygon;BSC,367,541,899,7240,263.37
pvp.trade,Interface,Hyperliquid L1,367,5094,55811,-60.07,-83.33
Aurora,Chain,Aurora,367,1623,11539,23.99,29.23
Kaching,Luck Games,Aptos;Solana,360,2317,5295,27.21,45.75
Mento V3,Dexs,Celo;Monad,360,1127,4226,-38.98,737.21
XRPL,Chain,XRPL;XRPL,360,2649,12030,-7.93,-15.69
xExchange,Dexs,MultiversX,354,3132,18758,-16.31,-44.95
Rainbow Perps,Interface,Hyperliquid L1,354,11039,39855,-91.59,-48.84
Hyperbeat USD,Lending,Hyperliquid L1,347,2338,9496,30.94,27.11
Pocket Universe,Security Extension,Ethereum;Base;Arbitrum;Polygon;BSC;OP Mainnet,344,1911,14415,240.59,-30.78
ZORA Coins,Launchpad,Base,344,2091,17447,-20.55,138.89
UNCX Network V2,Token Locker,Ethereum;BSC;Polygon;Arbitrum;OP Mainnet;Avalanche;Base;Unichain,341,5768,11487,-89.33,143.57
PoolTogether V5,Yield Lottery,OP Mainnet;Arbitrum;Base;Ethereum;Gnosis;Scroll;World Chain,337,2990,12291,-22.71,-32.46
Fira,Lending,Ethereum,331,8280,35999,-92.79,-41.93
Strike Finance Perpetuals,Derivatives,Cardano,330,3224,38522,-24.66,-66.63
Lunarbase,Dexs,Base,324,1239,5460,98.77,-28.16
Across,Cross Chain Bridge,OP Mainnet;Ethereum;Polygon;Arbitrum;Boba;ZKsync Lite;Base;Linea;Blast;Scroll;Zora;World Chain;Ink;Unichain;Lens;Solana;BSC;Lisk;Plasma;Monad;Soneium;Redstone;Mode;Aleph Zero EVM,315,4112,38417,-62.23,-30.62
Toros,Yield,OP Mainnet;Polygon;Arbitrum;Base;Ethereum;Hyperliquid L1,315,1582,9670,-17.75,-42.31
Bucket Protocol V2,CDP,Sui,315,2749,14482,-71.98,-75.51
BasePaint,Services,Base,312,2686,10733,58.38,-5.74
Balancer V1,Dexs,Ethereum,308,1560,73092,113.89,-1.91
HyperWave,Yield,Hyperliquid L1,308,1986,8132,-2.84,13.65
X Layer,Chain,X Layer,307,2026,9074,3.37,18.99
Plasma,Chain,Plasma,307,1405,4142,40.83,-57
HypurrFi Isolated,Lending,Hyperliquid L1,303,2422,9174,-54.37,2230.77
Shift Protocol,Onchain Capital Allocator,Base;Arbitrum,302,1806,4744,-35.47,-8.76
Curve LlamaLend,Lending,Ethereum;Arbitrum;OP Mainnet;Fraxtal;Sonic,301,3744,18678,-60.13,-70.83
BeaverBuild,Block Builders,Ethereum,301,1597,121581,152.94,-53.83
Alpha Arcade,Prediction Market,Algorand,298,1340,4947,37.33,18.73
HyperX Perps,Interface,Hyperliquid L1,295,2216,14582,-25.51,-28.05
MORE Markets,Lending,Flow,288,2110,15853,17.55,-6.19
FanX Protocol,Dexs,Chiliz,287,3064,16718,-22.43,-75.49
Ink,Chain,Ink,287,1928,28085,-36.08,-15.84
2THICK,Dexs,Sonic,283,2677,18778,95.17,6.39
ZKsync Era,Chain,ZKsync Era,283,1734,11322,11.86,-11.84
Venus Flux,Lending,BSC,279,5612,23919,0,-51.73
Preddy,Interface,Polygon,279,1186,5197,30.37,153.64
Flare,Chain,Flare,270,1699,12925,13.45,-56.38
Starke Staked SOL,Liquid Staking,Solana,269,990,3525,,
WhatExchange,Interface,Orderly Network,266,1428,5422,-13.64,-35.44
DexFi Aggregator,Yield Aggregator,Base;Sonic;Avalanche;BSC;Ethereum;Arbitrum,266,1683,10884,-25.49,51.14
Beets DEX,Dexs,OP Mainnet;Fantom;Sonic,265,2670,8194,57.74,-5.02
Verio,Liquid Staking,Data Network,259,8444,38861,-79.56,-86.98
Dinero (pxETH),Liquid Staking,Ethereum,258,2454,48002,5.31,-88.75
ShibaSwap V1,Dexs,Ethereum,254,1406,6779,14.41,-23.26
Equalizer Exchange,Dexs,Fantom;Sonic,251,1378,2309,188.51,325.42
Kinetiq Launch,Liquid Staking,Hyperliquid L1,251,1674,3680,-39.52,19.52
Gate Swap Spot,Dexs,GateLayer;Blast;Sonic;Berachain;ZKsync Era;Linea;OP Mainnet;Avalanche;Arbitrum;Base;Ethereum;Polygon;BSC;World Chain;ENI;Solana,249,2929,5895,-35.32,74.13
Gearbox,Lending,Ethereum;Arbitrum;OP Mainnet;Sonic;BSC;Hemi;Lisk;Monad,248,4584,9950,0.4,7.36
Land Bid,Gamified Mining,Base,245,2102,20144,15.02,-13.12
Hypertrade V3,Dexs,Hyperliquid L1,243,1731,6054,8.48,39.66
FlowSwap V3,Dexs,Flow,239,2773,19003,-29.91,-77.64
GeckoTerminal,Interface,Ethereum;Base;Polygon;Solana,236,2242,26996,-53.08,-90.45
Etherex CL,Dexs,Linea,233,1445,8637,-36.16,12.56
MachineX CL,Dexs,Peaq,233,1218,12899,22.63,12.56
BulbaSwap V3,Dexs,Morph,230,1232,5936,20.42,-7.63
Scopuly,Dexs,Stellar,227,1543,9061,-49.89,13.5
Ramses Legacy V2,Dexs,Polygon;Arbitrum;Hyperliquid L1,226,402,2538,247.69,58.04
Dswap,Dexs,ENI,221,1673,63845,4.74,-13.67
Maverick V1,Dexs,Ethereum;ZKsync Era;BSC;Base,220,1484,9085,-43.01,-60.22
Rainbow Wallet,Wallets,BSC;OP Mainnet;Ethereum;Arbitrum;Berachain;Polygon;Avalanche;Base;Blast;Ink;ApeChain;Zora;Gravity by Galxe;Unichain;Monad;Celo;Plasma;Sonic;Katana;Scroll;BOB;Mantle;Plume Mainnet;Ronin;MegaETH;World Chain;Linea;Hyperliquid L1;Degen;B3,220,3287,27922,0,-84.66
Space and Time,Developer Tools,Space_and_time,218,1367,6593,54.61,28.24
Gem Wallet Perps,Interface,Hyperliquid L1,218,363,5529,354.17,1576.92
Satsuma,Dexs,Citrea,216,1812,10012,-46.93,-48.82
The Graph,Developer Tools,Arbitrum,215,4257,25738,-67.37,-93.44
Silo V3,Lending,Ethereum;Arbitrum;Avalanche;XDC;Sonic;MegaETH,215,1625,12313,-31.75,-8.51
Bedrock uniIOTX,Liquid Staking,IoTeX,213,1503,5822,0.95,2.4
Mantle,Chain,Mantle,212,1111,7665,36.77,-58.91
InitiaDEX,Dexs,Initia,211,1633,7938,-48.91,21.26
Onyx Perps,Interface,Hyperliquid L1,211,1979,16900,-62.85,-70.2
Tempo,Chain,Tempo,210,1406,4723,-1.41,29.63
Pyth Entropy,Oracle,Arbitrum;Unichain;Hyperliquid L1;Sonic;Berachain;Abstract;Kaia;Etherlink;Soneium;ZetaChain;Base;Sanko;ApeChain;OP Mainnet;Blast;Taiko;Data Network;Monad,209,305,6464,36.6,
Igra,Chain,Igra,209,1473,7248,20.81,-6.7
Enzyme Finance,Indexes,Ethereum,208,1276,6385,170.13,-53.98
Unichain,Chain,Unichain,205,2145,12017,-8.89,-38.99
ODOS,DEX Aggregator,OP Mainnet;Ethereum;Polygon zkEVM;Avalanche;Polygon;Arbitrum;Base;Fantom;BSC;ZKsync Era;Mode;Linea;Mantle;Scroll;Fraxtal;Sonic;Unichain,204,1161,33279,195.65,-12.45
Jupiter Offerbook,Lending,Solana,203,834,3784,-18.8,480
Kinza Finance,Lending,Ethereum;BSC;opBNB;Mantle,200,2059,15565,-17.36,-70.41
Hybra V3,Dexs,Hyperliquid L1,200,1998,17378,-35.9,-63.1
LiquidBots,AI Agents,Hyperliquid L1,199,1273,5133,-28.93,-9.55
Myriad Markets,Prediction Market,Abstract;Linea;BSC,196,2372,10272,-33.33,-54.1
BEND,Lending,Berachain,196,2262,12233,-32.18,-45.1
BlackOpal,RWA,Plume Mainnet,195,1200,3946,7.73,42.34
Meta Pool ETH,Liquid Staking,Ethereum,194,1334,6723,5.43,-37.62
Haedal AMM Protocol,Dexs,Sui,194,1824,17939,-26.52,-67.28
Ryze Protocol,Dexs,Base,194,1060,3669,-8.49,22.01
Superform,Yield Aggregator,Base;Ethereum,193,10083,47364,-97.76,-24.9
Yeet BGT Auction,Gamified Mining,Berachain,192,1313,12651,-6.8,-19.33
Lootbase,Interface,Hyperliquid L1,190,1123,9062,-19.15,38.69
Tizi,Yield Aggregator,Base,190,190,818,,
Amnis Finance,Liquid Staking,Aptos,188,1349,6716,2.17,-15.32
Farcaster SoFi,SoFi,OP Mainnet;Base,186,854,3165,19.23,126.83
Cronos,Chain,Cronos,183,777,3044,107.95,-17.19
SakuraSwap CLMM,Dexs,Abstract;Shape;Zero Network;Redstone;Ink,179,1329,2698,-50.82,-4.28
Biswap V2,Dexs,BSC,177,1511,7198,-53.91,-28.63
Alien Base V2,Dexs,Base,176,864,4882,61.47,26.62
Flying Tulip ftUSD,Yield Aggregator,Ethereum;Sonic,176,491,2397,22.22,5766.67
Clearpool Lending,Uncollateralized Lending,Polygon;Polygon zkEVM;Arbitrum;OP Mainnet;Avalanche;Ethereum;Base;Flare;Mantle,175,1229,6179,0,-49.71
sTONks,Launchpad,TON,174,2518,20929,-83.24,-78.78
DragonSwap V3 Kaia,Dexs,Kaia,169,3653,14736,-26.52,-70.45
XBIT Perps,Interface,Hyperliquid L1,169,1310,5461,-55.76,4.97
SingularV,Risk Curators,Ethereum,166,785,10582,-4.05,822.22
LilSwap,DEX Aggregator,Gnosis;Avalanche;Sonic;OP Mainnet;Ethereum;Base;BSC;Arbitrum;Polygon,166,493,2864,219.23,72.92
aPriori,Liquid Staking,Monad,166,1219,5492,0,5.06
HypurrFi Pooled,Lending,Hyperliquid L1,165,1934,12156,-74.89,-24.66
Lynex V2,Dexs,Linea,164,1071,5381,-46.23,-1.2
Kaskad,Lending,Igra,163,990,2530,8.67,21.64
Sai,Derivatives,Nibiru,162,4624,34704,-70.6,-84.12
TAU Labs,Risk Curators,Flow;Ethereum,161,2154,11578,76.92,-64.22
Walrus Protocol,Developer Tools,Sui,159,736,3136,3.25,137.31
Defi App Perps,Interface,Hyperliquid L1,159,2169,16989,-81.09,-81.09
Joe V2.1,Dexs,Arbitrum;BSC;Avalanche;Ethereum;Monad,157,1401,6189,-36.18,-61.52
Blackhole AMM,Dexs,Avalanche,156,1174,7241,6.12,-53.43
Coinpilot,Interface,Hyperliquid L1,156,684,2629,-41.79,173.68
Splash Wallet Perps,Interface,Hyperliquid L1,156,684,2629,-41.79,173.68
Near Perps,Interface,Hyperliquid L1,154,450,4501,152.46,-53.05
ApeSwap AMM,Dexs,BSC;Polygon;Ethereum;Telos;Arbitrum,153,725,3628,-10.53,3.38
MUX Perps,Derivatives,BSC;Avalanche;Arbitrum;Fantom;OP Mainnet,152,963,7523,-14.61,-72.51
Bitflow,Dexs,Stacks,150,981,55811,6.38,100
Flex,Lending,Ethereum,150,1110,2961,4.9,82.93
Katana,Chain,Katana,150,1436,40206,3.45,-68.29
Bonkswap,Dexs,Solana,144,1021,3883,-40,-10.56
THENA V1,Dexs,BSC,143,281,894,1200,361.29
WAGMI,Dexs,ZKsync Era;Fantom;Kava;Ethereum;Metis;Sonic;Base,141,1035,4168,252.5,38.24
Lista DEX,Dexs,Ethereum;BSC,141,2999866,3004317,,56.67
Maxbid,Trading App,Solana,140,1637,11365,-11.39,-46.77
BEX,Dexs,Berachain,137,733,3153,136.21,92.96
Ultrasolid V3,Dexs,Hyperliquid L1,136,1151,5910,-24.44,-42.37
Defi Swap,Dexs,Ethereum,135,579,4907,50,-2.17
Echo Lending,Lending,Aptos,134,824,4710,-47.45,-3.6
Magma,Dexs,Sui,133,931,6828,0,0
Printr,Launchpad,Monad;Base;Avalanche;Ethereum;BSC;Arbitrum;Mantle;Solana,133,744,9144,62.2,171.43
Etherex Legacy,Dexs,Linea,132,386,3830,153.85,1366.67
Yuzu Finance,Dexs,Movement,131,810,6847,-7.09,-29.19
NodeOps,DePIN,Off Chain;Arbitrum;BSC;Base;Polygon,130,21033,24811,-50.94,-92.18
Zentra Finance,Lending,Citrea,130,1232,3032,-38.97,-32.64
SunPump,Launchpad,Tron,129,355,3266,486.36,-5.84
foxify,Derivatives,Sonic,129,960,4282,-44.64,-53.6
Sonic,Chain,Sonic,129,890,4418,74.32,-3.73
Polytrader,Interface,Polygon,124,817,3025,-26.63,3.33
Astroport,Dexs,Terra2;Injective;Neutron;Sei;Osmosis,123,1282,5138,-65.25,-33.15
HyperSwap V2,Dexs,Hyperliquid L1,122,2125,7316,-20.78,14.02
iZiSwap,Dexs,IoTeX;BSC;ZKsync Era;Arbitrum;Meter;Aurora;Polygon;Mantle;OntologyEVM;Ultron;Linea;Scroll;Base;Manta;ZetaChain;Mode;Hemi;Monad,121,518,4665,80.6,-28.4
Omnipair,Lending,Solana,121,705,3003,7.08,-6.2
Basenames,Domains,Base,121,1268,11064,47.56,-7.63
Infrared Finance,Liquid Staking,Berachain,120,819,3260,8.11,37.93
Pangolin V3,Dexs,Avalanche;Monad,119,501,6432,8.18,-16.2
BabySwap,Dexs,BSC,117,837,3981,-4.1,-35.36
Infinex Spot,Dexs,Solana;Polygon;OP Mainnet;BSC;Ethereum;Arbitrum;Base,117,2119,10784,-78.77,-71.74
Ronin,Chain,Ronin,117,626,3280,-53.75,36.05
Mezo,Chain,Mezo,117,386,1276,225,37.65
Kittenswap CL,Dexs,Hyperliquid L1,114,1926,4256,-43.56,11.76
Soneium,Chain,Soneium,114,898,5372,-2.56,-54.76
Chiliz,Chain,Chiliz,114,1597,10285,-40.63,-33.33
zkSwap V2,Dexs,ZKsync Era;Sonic;Monad,112,428,2184,115.38,111.32
PulseX StableSwap,Dexs,PulseChain,112,458,2865,83.61,72.31
Treble V2,Dexs,Base,112,279,3245,107.41,4.67
Silo V1,Lending,Ethereum;Arbitrum;OP Mainnet;Base,111,1019,3470,-44.5,-13.95
